2017-07-29 22:12:03,962 |http-bio-8080-exec-5 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-29 22:12:04,226 |http-bio-8080-exec-3 |Formula1Helper                |I| =======date========2017-06-17T18:30:00.000Z
2017-07-29 22:12:04,227 |http-bio-8080-exec-3 |Formula1Helper                |I| =========f1ScheduleMap========={date=2017-06-29T18:30:00.000Z, country=null, race_type_id=MAINRACE, city=null, name=Australian Grand Prix, time=2017-06-20T17:30:45.492Z, formula_one_id=2}
2017-07-29 22:12:04,227 |http-bio-8080-exec-3 |Formula1Helper                |I| =======date========2017-06-29T18:30:00.000Z
2017-07-29 22:12:04,229 |http-bio-8080-exec-3 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-29 22:12:04,234 |http-bio-8080-exec-3 |Formula1Helper                |I| Connected database successfully...
2017-07-29 22:12:04,235 |http-bio-8080-exec-3 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-29 22:19:31,835 |http-bio-8080-exec-1 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-29 22:19:31,839 |http-bio-8080-exec-1 |Formula1Helper                |I| Connected database successfully...
2017-07-29 22:19:31,841 |http-bio-8080-exec-4 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-29 22:19:31,841 |http-bio-8080-exec-1 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-29 22:19:31,842 |http-bio-8080-exec-1 |Formula1Helper                |I| =========f1ScheduleMap========={date=2017-06-18T18:30:00.000Z, country=India, race_type_id=MAINRACE, city=Noida, name=Indian Grand Prix, time=2017-06-18T06:00:06.564Z, formula_one_id=1}
2017-07-29 22:19:31,842 |http-bio-8080-exec-1 |Formula1Helper                |I| =======date========2017-06-18T18:30:00.000Z
2017-07-29 22:19:31,844 |http-bio-8080-exec-4 |Formula1Helper                |I| Connected database successfully...
2017-07-29 22:19:31,846 |http-bio-8080-exec-4 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-29 22:19:31,846 |http-bio-8080-exec-4 |Formula1Helper                |I| =========f1ScheduleMap========={date=2017-06-18T18:30:00.000Z, country=India, race_type_id=MAINRACE, city=Noida, name=Indian Grand Prix, time=2017-06-18T06:00:06.564Z, formula_one_id=1}
2017-07-29 22:19:31,846 |http-bio-8080-exec-4 |Formula1Helper                |I| =======date========2017-06-18T18:30:00.000Z
2017-07-29 22:19:31,848 |http-bio-8080-exec-4 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-29 22:19:31,851 |http-bio-8080-exec-4 |Formula1Helper                |I| Connected database successfully...
2017-07-29 22:19:31,853 |http-bio-8080-exec-4 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-29 22:19:31,854 |http-bio-8080-exec-4 |Formula1Helper                |I| =======date========2017-06-17T18:30:00.000Z
2017-07-29 22:19:31,854 |http-bio-8080-exec-4 |Formula1Helper                |I| =========f1ScheduleMap========={date=2017-06-29T18:30:00.000Z, country=null, race_type_id=MAINRACE, city=null, name=Australian Grand Prix, time=2017-06-20T17:30:45.492Z, formula_one_id=2}
2017-07-29 22:19:31,854 |http-bio-8080-exec-4 |Formula1Helper                |I| =======date========2017-06-29T18:30:00.000Z
2017-07-29 22:19:31,856 |http-bio-8080-exec-1 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-29 22:19:31,856 |http-bio-8080-exec-4 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-29 22:19:31,862 |http-bio-8080-exec-4 |Formula1Helper                |I| Connected database successfully...
2017-07-29 22:19:31,868 |http-bio-8080-exec-4 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-29 22:19:31,871 |http-bio-8080-exec-1 |Formula1Helper                |I| Connected database successfully...
2017-07-29 22:19:31,872 |http-bio-8080-exec-1 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-29 22:19:31,873 |http-bio-8080-exec-1 |Formula1Helper                |I| =======date========2017-06-17T18:30:00.000Z
2017-07-29 22:19:31,873 |http-bio-8080-exec-1 |Formula1Helper                |I| =========f1ScheduleMap========={date=2017-06-29T18:30:00.000Z, country=null, race_type_id=MAINRACE, city=null, name=Australian Grand Prix, time=2017-06-20T17:30:45.492Z, formula_one_id=2}
2017-07-29 22:19:31,873 |http-bio-8080-exec-1 |Formula1Helper                |I| =======date========2017-06-29T18:30:00.000Z
2017-07-29 22:19:31,877 |http-bio-8080-exec-1 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-29 22:19:31,881 |http-bio-8080-exec-1 |Formula1Helper                |I| Connected database successfully...
2017-07-29 22:19:31,883 |http-bio-8080-exec-1 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-29 22:19:35,684 |http-bio-8080-exec-5 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-29 22:19:35,687 |http-bio-8080-exec-5 |Formula1Helper                |I| Connected database successfully...
2017-07-29 22:19:35,687 |http-bio-8080-exec-5 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-29 22:19:35,688 |http-bio-8080-exec-5 |Formula1Helper                |I| =======date========2017-06-29T18:30:00.000Z
2017-07-29 22:19:35,689 |http-bio-8080-exec-5 |Formula1Helper                |I| =======date========2017-07-06T18:30:00.000Z
2017-07-29 22:19:35,689 |http-bio-8080-exec-5 |Formula1Helper                |I| =======date========2017-07-12T18:30:00.000Z
